,branch,PT,TY,LAB,V_plc,L2-NORM,V_pkc,switch,delta,K_tau,tau_max,PAR(21),PAR(22),PAR(23),PAR(24),PAR(25),PAR(26),PAR(31),PAR(32),PAR(33),PAR(34),PAR(35),PAR(36),PAR(80)
1,1,-1,9,1,1.0000000134e-10,4.0508562999,0.10000000149,1.0,2.5,0.20000000298,2000.0,1.0,0.080529600382,3.8610110283,0.70394998789,1.0000000134e-10,0.0,1.0,0.080529600382,3.8610110283,0.70394998789,1.0000000134e-10,0.0,6.0
2,1,-2,0,0,2.1303312069e-08,4.0508562789,0.10000000149,1.0,2.5,0.20000000298,2000.0,0.99999841189,0.080529583755,3.8610112879,0.70395070102,4.4833690329e-07,3.3068235939e-08,0.99999841189,0.080529583755,3.8610112879,0.70395070102,4.4833690329e-07,3.3068235939e-08,6.0
3,1,-3,0,0,3.420935073e-08,4.0508560402,0.10000000149,1.0,2.5,0.20000000298,2000.0,0.99999744977,0.080529583771,3.8610112867,0.70395070084,7.1994904384e-07,5.3101684902e-08,0.99999744977,0.080529583771,3.8610112867,0.70395070084,7.1994904384e-07,5.3101684902e-08,6.0
4,1,-4,0,0,6.0021548011e-08,4.0508555612,0.10000000149,1.0,2.5,0.20000000298,2000.0,0.99999552555,0.080529583829,3.8610112826,0.70395070025,1.2631742325e-06,9.3168650445e-08,0.99999552555,0.080529583829,3.8610112826,0.70395070025,1.2631742325e-06,9.3168650445e-08,6.0
5,1,-5,0,0,1.1164634486e-07,4.0508545965,0.10000000149,1.0,2.5,0.20000000298,2000.0,0.99999167713,0.080529584037,3.8610112676,0.70395069809,2.3496266065e-06,1.7330273182e-07,0.99999167713,0.080529584037,3.8610112676,0.70395069809,2.3496266065e-06,1.7330273182e-07,6.0
6,1,-6,0,0,2.1489686874e-07,4.0508526408,0.10000000149,1.0,2.5,0.20000000298,2000.0,0.99998398041,0.08052958483,3.8610112106,0.70395068989,4.5225250388e-06,3.3357044355e-07,0.99998398041,0.08052958483,3.8610112106,0.70395068989,4.5225250388e-06,3.3357044355e-07,6.0
7,1,-7,0,0,4.2139139668e-07,4.0508486241,0.10000000149,1.0,2.5,0.20000000298,2000.0,0.99996858818,0.08052958792,3.8610109886,0.7039506579,8.8680810321e-06,6.5408818126e-07,0.99996858818,0.08052958792,3.8610109886,0.7039506579,8.8680810321e-06,6.5408818126e-07,6.0
8,1,-8,0,0,7.3108777047e-07,4.0508423363,0.10000000149,1.0,2.5,0.20000000298,2000.0,0.99994550509,0.080529596314,3.8610103856,0.70395057101,1.5385199701e-05,1.1347754404e-06,0.99994550509,0.080529596314,3.8610103856,0.70395057101,1.5385199701e-05,1.1347754404e-06,6.0
9,1,-9,0,0,1.1954175129e-06,4.0508323166,0.10000000149,1.0,2.5,0.20000000298,2000.0,0.99991090062,0.08052961735,3.8610088744,0.70395035325,2.5155772159e-05,1.8554307357e-06,0.99991090062,0.08052961735,3.8610088744,0.70395035325,2.5155772159e-05,1.8554307357e-06,6.0
10,1,-10,0,0,1.8910516856e-06,4.0508159757,0.10000000149,1.0,2.5,0.20000000298,2000.0,0.99985906727,0.080529667835,3.8610052475,0.70394983065,3.9792206591e-05,2.9349842771e-06,0.99985906727,0.080529667835,3.8610052475,0.70394983065,3.9792206591e-05,2.9349842771e-06,6.0
11,1,-11,0,0,2.9313195803e-06,4.0507885637,0.10000000149,1.0,2.5,0.20000000298,2000.0,0.9997815748,0.080529785773,3.8609967748,0.70394860979,6.1676910661e-05,4.5491664009e-06,0.9997815748,0.080529785773,3.8609967748,0.70394860979,6.1676910661e-05,4.5491664009e-06,6.0
12,1,-12,0,0,3.9658703657e-06,4.0507577667,0.10000000149,1.0,2.5,0.20000000298,2000.0,0.99970453199,0.080529953495,3.8609847257,0.70394687358,8.3437786395e-05,6.1542336684e-06,0.99970453199,0.080529953495,3.8609847257,0.70394687358,8.3437786395e-05,6.1542336684e-06,6.0
13,1,-13,0,0,4.9927780842e-06,4.0507237115,0.10000000149,1.0,2.5,0.20000000298,2000.0,0.99962808131,0.080530169698,3.8609691939,0.70394463551,0.00010503436285,7.7472066273e-06,0.99962808131,0.080530169698,3.8609691939,0.70394463551,0.00010503436285,7.7472066273e-06,6.0
14,1,-14,0,0,6.0103050856e-06,4.0506865431,0.10000000149,1.0,2.5,0.20000000298,2000.0,0.99955235109,0.080530432766,3.8609502957,0.70394191229,0.00012643015551,9.325399425e-06,0.99955235109,0.080530432766,3.8609502957,0.70394191229,0.00012643015551,9.325399425e-06,6.0
15,1,-15,0,0,7.0169285397e-06,4.0506464204,0.10000000149,1.0,2.5,0.20000000298,2000.0,0.99947745355,0.080530740837,3.860928165,0.70393872322,0.00014759322039,1.0886460614e-05,0.99947745355,0.080530740837,3.860928165,0.70393872322,0.00014759322039,1.0886460614e-05,6.0
16,1,-16,0,0,8.0113543874e-06,4.0506035107,0.10000000149,1.0,2.5,0.20000000298,2000.0,0.9994034838,0.080531091861,3.8609029491,0.70393508949,0.00016849644337,1.2428394463e-05,0.9994034838,0.080531091861,3.8609029491,0.70393508949,0.00016849644337,1.2428394463e-05,6.0
17,1,-17,0,0,8.9925197863e-06,4.0505579859,0.10000000149,1.0,2.5,0.20000000298,2000.0,0.99933051973,0.080531483669,3.8608748042,0.70393103357,0.00018911758753,1.3949564428e-05,0.99933051973,0.080531483669,3.8608748042,0.70393103357,0.00018911758753,1.3949564428e-05,6.0
